righthandX,righthandY,righthandZ,headX,headY,headZ,lefthandX,lefthandY,lefthandZ
0.220766979,0.948737316,0.226184541,-0.210710948,0.953013556,0.217637446,-0.45295396,0.837316025,0.306161045
0.214943199,0.95105349,0.222028556,-0.203813369,0.954663553,0.216973759,-0.442199031,0.84485346,0.301135598
0.21569333,0.951875076,0.217738897,-0.202849705,0.956553143,0.20942321,-0.450072931,0.839868721,0.303405484
0.22557388,0.950523501,0.213591897,-0.183304648,0.958744658,0.217274221,-0.430587436,0.841662018,0.32588266
0.219532538,0.951695502,0.214665173,-0.16942902,0.961213643,0.217628446,-0.424611948,0.84389728,0.327936082
0.221702383,0.951192355,0.21466522,-0.160434065,0.963899557,0.212505423,-0.397158359,0.854392878,0.335079166
0.203717867,0.959000129,0.197022294,-0.135091281,0.972533503,0.189549283,-0.371738167,0.879927261,0.295869482
0.187759959,0.965240879,0.181813757,-0.15159081,0.970379028,0.188108393,-0.385205798,0.869606099,0.308871697
0.182304467,0.968539659,0.169398967,-0.148969202,0.975234154,0.163482483,-0.365247001,0.891760526,0.267128794
0.18502326,0.971627445,0.147331263,-0.175689653,0.96973233,0.16956519,-0.344974034,0.896512027,0.277955213
0.180209136,0.975376481,0.127143181,-0.203448049,0.966004897,0.159509972,-0.345806617,0.90160811,0.259847263
0.189752864,0.972671279,0.133807451,-0.225573823,0.951130103,0.210874315,-0.348782511,0.894707178,0.279015816
0.195461728,0.971921843,0.131006273,-0.245902134,0.947987397,0.202118866,-0.334138239,0.898318649,0.285263462
0.197356794,0.96780124,0.156240377,-0.229531384,0.93690462,0.263676082,-0.325862128,0.891046293,0.315991102
0.168215184,0.975309694,0.143089668,-0.225180755,0.94773816,0.22602214,-0.320079001,0.897891015,0.302226998
0.129503479,0.981076705,0.143935218,-0.198701887,0.952191104,0.232055296,-0.31557644,0.898381031,0.30548819
0.090645503,0.987294799,0.130508136,-0.173512504,0.965956348,0.191889927,-0.312271706,0.909363878,0.274852178
0.058243162,0.984535946,0.165217143,-0.173747651,0.954500371,0.242365004,-0.311218606,0.900471851,0.303798328
0.042287584,0.992288632,0.116511936,-0.150619606,0.974513853,0.166242249,-0.308497786,0.909967617,0.277106573
-0.008065639,0.994115721,0.108022581,-0.143290321,0.975547019,0.166661025,-0.297340333,0.91952704,0.257018967
0.009804364,0.986748799,0.16195889,-0.135503669,0.972075753,0.191591978,-0.293479195,0.913760821,0.280911238
0.003982343,0.985824522,0.167732382,-0.132578384,0.972467006,0.191653058,-0.304246672,0.913626722,0.269666787
0.002089933,0.984218705,0.176943983,-0.090097217,0.978778224,0.18405347,-0.301523147,0.913686117,0.272509581
0.022449088,0.984642864,0.173131363,-0.080314296,0.97851635,0.189882506,-0.305114002,0.917037396,0.256803155
0.03536699,0.972992595,0.228110909,-0.079581604,0.97310153,0.216194777,-0.295369902,0.915958352,0.271619067
0.087969567,0.968353892,0.233563898,-0.0545638,0.976250469,0.209661188,-0.307654141,0.915933927,0.257709082
0.097977403,0.962426598,0.253249822,-0.050774214,0.968457989,0.243948975,-0.305923904,0.909878529,0.280234952
0.202230717,0.948749511,0.242852019,-0.030641037,0.971069155,0.236824455,-0.321924542,0.907740153,0.269021196
0.235718179,0.935646217,0.262684404,-0.029228805,0.969815363,0.242082298,-0.344854536,0.893895703,0.286401503
0.279765875,0.934710318,0.219197802,-0.027314429,0.974666498,0.221989055,-0.377088753,0.887080524,0.266255923
0.295920566,0.92003572,0.256837092,-0.061344947,0.966072998,0.25087798,-0.383866639,0.874008206,0.297919551
0.29156665,0.929292774,0.226724123,-0.080604429,0.970685396,0.226434953,-0.408990674,0.870540646,0.273652357
0.283641829,0.936988934,0.203958452,-0.101250812,0.97565632,0.194532822,-0.439705613,0.858385976,0.264258379
0.299348382,0.930443117,0.211343683,-0.099113337,0.977151352,0.188020693,-0.459038172,0.849536323,0.259946134
0.282651167,0.93518282,0.213404336,-0.097722571,0.973405362,0.207201112,-0.455405601,0.849718607,0.265676546
